model,split,baseline_mae,model_mae,mae_delta_vs_baseline,mae_relative_change_pct,baseline_rmse,model_rmse,rmse_delta_vs_baseline,rmse_relative_change_pct
ANN,test,433726.936111111,375856.5896621509,-57870.34644896013,-13.342576084353466,526201.0420354771,450990.4847407228,-75210.55729475431,-14.29312207437315
LSTM,test,433726.936111111,404871.0416666667,-28855.894444444333,-6.65300954171131,526201.0420354771,497991.62425568776,-28209.417779789364,-5.360958174972115
Random Forest,test,433726.936111111,486348.09327859443,52621.15716748341,12.132324000740194,526201.0420354771,584281.7413593964,58080.69932391925,11.037739320934941
ANN,validation,291879.1916666667,227344.5224650365,-64534.6692016302,-22.110061643356335,357628.72036161565,284796.49983995594,-72832.2205216597,-20.36531642313725
LSTM,validation,291879.1916666667,255569.6625,-36309.5291666667,-12.439916994197068,357628.72036161565,289081.45332687884,-68547.26703473681,-19.167159439942452
Random Forest,validation,291879.1916666667,286119.3702005082,-5759.821466158493,-1.9733580298304898,357628.72036161565,345121.1568117947,-12507.563549820974,-3.4973599260076127
