configuration_index,hidden_layer_sizes,learning_rate_init,alpha,mae,rmse,mape,smape,r2
1,"(64,)",0.001,0.0001,227344.52246503657,284796.499839956,5.920671524195906,5.770336691592618,0.7968718550259984
2,"(64, 32)",0.0005,0.0001,281552.3165144419,341585.58908095496,7.244065039957744,7.28968928837606,0.7077867611600219
0,"(32,)",0.001,0.0001,306126.7185655516,381500.09601086366,8.003337365878764,7.654901586495964,0.635506229216122
