model,split,mean_residual,residual_std,residual_mae,residual_rmse,max_absolute_residual,p05_residual,p95_residual
Seasonal naive,validation,175864.46666666665,311400.0497616139,291879.1916666667,357628.72036161565,752276.0,-293589.20000000007,583251.315
Seasonal naive,test,368900.4916666666,375233.21266555495,433726.936111111,526201.0420354771,1276016.7000000002,-239827.57500000007,1026870.6749999998
Random Forest,validation,167325.6143705826,301845.5758407243,286119.3702005082,345121.1568117947,749287.123865623,-237242.6825823399,624104.6976666687
Random Forest,test,289689.4902759284,507410.24084032956,486348.09327859443,584281.7413593964,1239251.843944449,-742578.8845999963,1018794.5694277837
ANN,validation,-60404.231425509286,278317.04070535017,227344.5224650365,284796.49983995594,633124.8055919656,-597950.7822740016,284873.10701629677
ANN,test,-175618.2206315211,415392.17362498597,375856.5896621509,450990.4847407228,917071.1186843701,-907619.4215783591,491489.94436100544
LSTM,validation,61047.98749999997,282561.9045090478,255569.6625,289081.45332687884,568952.7999999998,-374126.955,391098.24499999994
LSTM,test,159729.88055555554,471680.00072774553,404871.0416666667,497991.62425568776,1102886.0,-584300.0500000002,959144.2
