n_estimators,max_depth,min_samples_leaf,mae,rmse,mape,smape,r2
300,10.0,1,286119.3702005085,345121.1568117949,7.105197471581031,7.345121539301937,0.7017063733090723
200,6.0,1,286792.99741869554,346210.1105873309,7.107990643570021,7.351145325327852,0.6998210039184608
300,,2,291753.2885339794,354905.8154511585,7.223381922737221,7.485018225525924,0.6845525370530755
