,configuration_1_seed_2026,configuration_1_seed_2027,configuration_1_seed_2028,configuration_2_seed_2026,configuration_2_seed_2027,configuration_2_seed_2028,configuration_3_seed_2026,configuration_3_seed_2027,configuration_3_seed_2028
configuration_1_seed_2026,1.0,0.9655172413793104,0.9091406677613574,0.9677066228790366,0.9682539682539683,0.9310344827586207,0.963327859879584,0.9616858237547893,0.922824302134647
configuration_1_seed_2027,0.9655172413793104,1.0,0.9102353585112206,0.9425287356321839,0.9906951286261632,0.9523809523809523,0.9376026272577996,0.9879584017515052,0.9452654625068418
configuration_1_seed_2028,0.9091406677613574,0.9102353585112206,1.0,0.9189928845101258,0.9321291735084839,0.9704433497536946,0.9272030651340997,0.9299397920087575,0.9759168035030104
configuration_2_seed_2026,0.9677066228790366,0.9425287356321839,0.9189928845101258,1.0,0.9545703338806787,0.9173508483853311,0.9912424740010947,0.9507389162561576,0.9157088122605364
configuration_2_seed_2027,0.9682539682539683,0.9906951286261632,0.9321291735084839,0.9545703338806787,1.0,0.9490968801313628,0.9496442255062945,0.9950738916256158,0.9458128078817734
configuration_2_seed_2028,0.9310344827586207,0.9523809523809523,0.9704433497536946,0.9173508483853311,0.9490968801313628,1.0,0.9304871373836892,0.9512862616310892,0.9945265462506842
configuration_3_seed_2026,0.963327859879584,0.9376026272577996,0.9272030651340997,0.9912424740010947,0.9496442255062945,0.9304871373836892,1.0,0.9474548440065681,0.9277504105090312
configuration_3_seed_2027,0.9616858237547893,0.9879584017515052,0.9299397920087575,0.9507389162561576,0.9950738916256158,0.9512862616310892,0.9474548440065681,1.0,0.9501915708812261
configuration_3_seed_2028,0.922824302134647,0.9452654625068418,0.9759168035030104,0.9157088122605364,0.9458128078817734,0.9945265462506842,0.9277504105090312,0.9501915708812261,1.0
