model,split,mae,rmse,mape,smape,r2,rmse_rank,mae_rank
ANN,test,375856.5896621509,450990.4847407228,9.509789694374673,9.013450438531567,0.6086811196271479,1.0,1.0
LSTM,test,404871.0416666667,497991.62425568776,9.541255383295535,9.69594665344502,0.5228662679049842,2.0,2.0
Seasonal naive,test,433726.936111111,526201.0420354771,9.915245210035057,10.558542099080071,0.4672794480197734,3.0,3.0
Random Forest,test,486348.09327859443,584281.7413593964,11.453891309854383,11.837757453393431,0.34318861186836813,4.0,4.0
ANN,validation,227344.5224650365,284796.49983995594,5.920671524195905,5.770336691592619,0.7968718550259984,1.0,1.0
LSTM,validation,255569.6625,289081.45332687884,6.548046036512732,6.55802601687865,0.7907134753553741,2.0,2.0
Random Forest,validation,286119.3702005082,345121.1568117947,7.105197471581022,7.345121539301928,0.7017063733090727,3.0,3.0
Seasonal naive,validation,291879.1916666667,357628.72036161565,7.278061126871588,7.532828232555605,0.6796936231740476,4.0,4.0
