model,one_month_absolute_error,three_month_mae,three_month_rmse
ANN,343684.3753855089,443586.3072680964,449711.12504236196
LSTM,474509.5,493891.5,565788.8499652293
Random Forest,604451.9023333346,604722.2136611114,673369.4056358512
Seasonal naive,93425.09999999963,213242.63333333316,241151.66462867986
