configuration_index,hidden_size,num_layers,learning_rate,mae,rmse,mape,smape,r2
0,16,1,0.005,255569.64583333334,289081.4054763327,6.548046198425382,6.558025934487264,0.7907135359305043
1,32,1,0.003,252801.89583333334,289198.2737084056,6.504751163532196,6.480519101146855,0.7905442833763693
